Fennally et al cross sections at Hinteregger wavelengths.
     WVLN         O Ion        O2 Ion       O2 Abs       N2 Ion       N2 Abs  
     0.7500       0.0000       0.0000       0.0000       0.0000       0.0000
     1.2500       0.0000       0.0000       0.0000       0.0000       0.0000
     1.7500       0.0000       0.0000       0.0000       0.0000       0.0000
     2.2500       0.0000       0.0000       0.0000       0.0000       0.0000
     2.7500       0.0000       0.0000       0.0000       0.0000       0.0000
     3.2500       0.0000       0.0001       0.0001       0.0000       0.0000
     3.7500       0.0000       0.0001       0.0001       0.0000       0.0000
     4.2500       0.0000       0.0001       0.0001       0.0000       0.0000
     4.7500       0.0000       0.0001       0.0001       0.0000       0.0000
     5.2500       0.0000       0.0001       0.0001       0.0001       0.0001
     5.7500       0.0001       0.0001       0.0001       0.0001       0.0001
     6.2500       0.0001       0.0001       0.0001       0.0001       0.0001
     6.7500       0.0001       0.0002       0.0002       0.0001       0.0001
     7.2500       0.0001       0.0002       0.0002       0.0001       0.0001
     7.7500       0.0001       0.0002       0.0002       0.0002       0.0002
     8.2500       0.0001       0.0002       0.0002       0.0002       0.0002
     8.7500       0.0001       0.0003       0.0003       0.0002       0.0002
     9.2500       0.0002       0.0003       0.0003       0.0003       0.0003
     9.7500       0.0002       0.0004       0.0004       0.0004       0.0004
    10.2500       0.0002       0.0005       0.0005       0.0005       0.0005
    10.7500       0.0003       0.0005       0.0005       0.0006       0.0006
    11.2500       0.0003       0.0006       0.0006       0.0007       0.0007
    11.7500       0.0004       0.0007       0.0007       0.0009       0.0009
    12.2500       0.0004       0.0008       0.0008       0.0011       0.0011
    12.7500       0.0005       0.0010       0.0010       0.0013       0.0013
    13.2500       0.0006       0.0012       0.0012       0.0016       0.0016
    13.7500       0.0007       0.0013       0.0013       0.0020       0.0020
    14.2500       0.0008       0.0016       0.0016       0.0025       0.0025
    14.7500       0.0009       0.0018       0.0018       0.0030       0.0030
    15.2500       0.0011       0.0021       0.0021       0.0037       0.0037
    15.7500       0.0013       0.0025       0.0025       0.0046       0.0046
    16.2500       0.0015       0.0029       0.0029       0.0057       0.0057
    16.7500       0.0017       0.0034       0.0034       0.0070       0.0070
    17.2500       0.0020       0.0040       0.0040       0.0087       0.0087
    17.7500       0.0023       0.0046       0.0046       0.0107       0.0107
    18.6200       0.0030       0.0061       0.0061       0.0154       0.0154
    18.9700       0.0034       0.0068       0.0068       0.0178       0.0178
    21.6000       0.0077       0.0152       0.0152       0.0537       0.0537
    21.8000       0.0081       0.0162       0.0162       0.0584       0.0584
    22.1000       0.0089       0.0178       0.0178       0.0663       0.0663
    28.4700       0.0640       0.1270       0.1270       0.9590       0.9590
    28.7900       0.0660       0.1310       0.1310       0.9700       0.9700
    29.5200       0.0700       0.1390       0.1390       0.9950       0.9950
    30.0200       0.0730       0.1450       0.1450       1.0120       1.0120
    30.4300       0.0760       0.1500       0.1500       0.9090       0.9090
    33.7400       0.0960       0.1900       0.1900       0.0960       0.0960
    40.9500       0.1400       0.2750       0.2750       0.1500       0.1500
    43.7600       0.1570       0.3090       0.3090       0.1710       0.1710
    44.0200       0.1580       0.3120       0.3120       0.1730       0.1730
    44.1600       0.1590       0.3140       0.3140       0.1740       0.1740
    45.6600       0.1820       0.3410       0.3410       0.1880       0.1880
    46.4000       0.1830       0.3560       0.3560       0.1960       0.1960
    46.6700       0.1830       0.3620       0.3620       0.1990       0.1990
    47.8700       0.1840       0.3880       0.3880       0.2110       0.2110
    49.2200       0.1930       0.4170       0.4170       0.2250       0.2250
    50.5200       0.2050       0.4450       0.4450       0.2390       0.2390
    50.6900       0.2070       0.4490       0.4490       0.2410       0.2410
    52.3000       0.2250       0.4830       0.4830       0.2580       0.2580
    52.9100       0.2310       0.4980       0.4980       0.2660       0.2660
    54.1500       0.2450       0.5300       0.5300       0.2830       0.2830
    54.4200       0.2490       0.5370       0.5370       0.2870       0.2870
    55.0600       0.2580       0.5530       0.5530       0.2960       0.2960
    55.3400       0.2620       0.5600       0.5600       0.3000       0.3000
    56.0800       0.2720       0.5780       0.5780       0.3100       0.3100
    56.9200       0.2840       0.6000       0.6000       0.3220       0.3220
    57.3600       0.2900       0.6110       0.6110       0.3280       0.3280
    57.5600       0.2930       0.6160       0.6160       0.3310       0.3310
    57.8800       0.2970       0.6240       0.6240       0.3350       0.3350
    58.9600       0.3120       0.6510       0.6510       0.3500       0.3500
    59.6200       0.3250       0.6680       0.6680       0.3600       0.3600
    60.3000       0.3380       0.6850       0.6850       0.3690       0.3690
    60.8500       0.3480       0.6990       0.6990       0.3770       0.3770
    61.0700       0.3530       0.7040       0.7040       0.3800       0.3800
    61.6300       0.3640       0.7190       0.7190       0.3880       0.3880
    61.9000       0.3690       0.7250       0.7250       0.3910       0.3910
    62.3000       0.3760       0.7350       0.7350       0.3970       0.3970
    62.3500       0.3770       0.7370       0.7370       0.3980       0.3980
    62.7700       0.3840       0.7470       0.7470       0.4040       0.4040
    63.1600       0.3910       0.7570       0.7570       0.4090       0.4090
    63.3000       0.3940       0.7610       0.7610       0.4110       0.4110
    63.6500       0.4000       0.7700       0.7700       0.4160       0.4160
    64.1100       0.4080       0.7810       0.7810       0.4220       0.4220
    64.6000       0.4170       0.7960       0.7960       0.4290       0.4290
    65.2100       0.4280       0.8180       0.8180       0.4370       0.4370
    65.7100       0.4390       0.8360       0.8360       0.4430       0.4430
    65.8500       0.4420       0.8410       0.8410       0.4450       0.4450
    66.2600       0.4511       0.8556       0.8556       0.4505       0.4505
    66.3000       0.4520       0.8570       0.8570       0.4510       0.4510
    66.3700       0.4536       0.8595       0.8595       0.4519       0.4519
    67.1400       0.4710       0.8870       0.8870       0.4620       0.4620
    67.3500       0.4750       0.8950       0.8950       0.4650       0.4650
    68.3500       0.4980       0.9260       0.9260       0.4840       0.4840
    69.6500       0.5250       0.9650       0.9650       0.5110       0.5110
    70.0000       0.5320       0.9750       0.9750       0.5180       0.5180
    70.5400       0.5430       0.9910       0.9910       0.5290       0.5290
    70.7500       0.5470       0.9970       0.9970       0.5340       0.5340
    71.0000       0.5520       1.0050       1.0050       0.5390       0.5390
    71.9400       0.5710       1.0330       1.0330       0.5590       0.5590
    72.3100       0.5790       1.0440       1.0440       0.5660       0.5660
    72.6300       0.5850       1.0560       1.0560       0.5720       0.5720
    72.8000       0.5890       1.0620       1.0620       0.5750       0.5750
    72.9500       0.5920       1.0670       1.0670       0.5780       0.5780
    73.4700       0.6041       1.0860       1.0860       0.5867       0.5867
    73.5500       0.6060       1.0890       1.0890       0.5880       0.5880
    74.2100       0.6210       1.1130       1.1130       0.6000       0.6000
    74.4400       0.6260       1.1210       1.1210       0.6040       0.6040
    74.8300       0.6350       1.1350       1.1350       0.6110       0.6110
    75.0300       0.6400       1.1430       1.1430       0.6150       0.6150
    75.2900       0.6460       1.1520       1.1520       0.6200       0.6200
    75.4600       0.6500       1.1580       1.1580       0.6230       0.6230
    75.7300       0.6560       1.1680       1.1680       0.6280       0.6280
    76.0100       0.6620       1.1780       1.1780       0.6330       0.6330
    76.4800       0.6730       1.1950       1.1950       0.6410       0.6410
    76.8300       0.6810       1.2080       1.2080       0.6470       0.6470
    76.9400       0.6840       1.2120       1.2120       0.6490       0.6490
    77.3000       0.6920       1.2250       1.2250       0.6560       0.6560
    77.7400       0.7030       1.2400       1.2400       0.6640       0.6640
    78.5600       0.7250       1.2700       1.2700       0.6780       0.6780
    78.7000       0.7290       1.2750       1.2750       0.6810       0.6810
    79.0800       0.7390       1.2890       1.2890       0.6880       0.6880
    79.4800       0.7500       1.3030       1.3030       0.6950       0.6950
    79.7600       0.7570       1.3130       1.3130       0.7000       0.7000
    80.0000       0.7640       1.3220       1.3220       0.7040       0.7040
    80.5500       0.7780       1.3420       1.3420       0.7140       0.7140
    82.4300       0.8290       1.4140       1.4140       0.7520       0.7520
    82.7400       0.8369       1.4289       1.4289       0.7612       0.7612
    82.8400       0.8390       1.4338       1.4338       0.7643       0.7643
    83.4200       0.8510       1.4620       1.4620       0.7830       0.7830
    83.6700       0.8570       1.4740       1.4740       0.7900       0.7900
    84.0000       0.8640       1.4900       1.4900       0.8010       0.8010
    86.7700       0.9230       1.6250       1.6250       0.8860       0.8860
    86.8600       0.9251       1.6293       1.6293       0.8886       0.8886
    86.9800       0.9280       1.6350       1.6350       0.8920       0.8920
    87.3000       0.9350       1.6510       1.6510       0.9020       0.9020
    87.6100       0.9410       1.6660       1.6660       0.9120       0.9120
    88.0900       0.9518       1.6895       1.6895       0.9267       0.9267
    88.1100       0.9520       1.6900       1.6900       0.9270       0.9270
    88.1400       0.9530       1.6920       1.6920       0.9280       0.9280
    88.4200       0.9590       1.7050       1.7050       0.9370       0.9370
    88.6400       0.9640       1.7160       1.7160       0.9430       0.9430
