    wavelength    O+(4S)      O+(2D)      O+(2P)      O+(4Pe)     O+(2Pe)     O++         O+(total)
      23.70       0.011       0.012       0.008       0.004       0.002       0.000       0.035
      28.47       0.019       0.021       0.014       0.007       0.004       0.000       0.064
      28.79       0.020       0.022       0.014       0.007       0.005       0.000       0.066
      29.52       0.021       0.023       0.015       0.008       0.005       0.000       0.070
      30.00       0.022       0.024       0.016       0.008       0.005       0.000       0.073
      30.02       0.022       0.024       0.016       0.008       0.005       0.000       0.073
      30.27       0.022       0.025       0.016       0.008       0.005       0.000       0.075
      30.43       0.023       0.025       0.017       0.008       0.005       0.000       0.076
      31.00       0.024       0.026       0.017       0.009       0.006       0.000       0.079
      31.62       0.025       0.027       0.018       0.009       0.006       0.000       0.083
      33.74       0.029       0.032       0.021       0.011       0.007       0.000       0.096
      35.40       0.032       0.035       0.023       0.012       0.007       0.000       0.106
      40.95       0.042       0.046       0.031       0.015       0.010       0.000       0.140
      41.30       0.043       0.046       0.031       0.016       0.010       0.000       0.142
      43.76       0.049       0.049       0.030       0.019       0.013       0.000       0.157
      44.02       0.049       0.049       0.030       0.019       0.013       0.000       0.158
      44.16       0.049       0.049       0.030       0.019       0.013       0.000       0.159
      44.20       0.049       0.049       0.030       0.019       0.013       0.000       0.159
      44.30       0.050       0.050       0.030       0.019       0.013       0.010       0.171
      44.70       0.051       0.051       0.031       0.020       0.013       0.011       0.175
      45.30       0.053       0.053       0.032       0.020       0.014       0.012       0.182
      45.66       0.053       0.053       0.032       0.020       0.014       0.012       0.182
      45.90       0.053       0.053       0.032       0.020       0.014       0.012       0.183
      46.40       0.053       0.053       0.032       0.020       0.014       0.012       0.183
      46.67       0.053       0.053       0.039       0.020       0.014       0.012       0.183
      47.70       0.050       0.054       0.036       0.019       0.012       0.013       0.183
      47.87       0.050       0.055       0.036       0.019       0.012       0.013       0.184
      49.22       0.055       0.055       0.037       0.018       0.012       0.014       0.193
      49.60       0.055       0.056       0.037       0.018       0.012       0.015       0.195
      50.36       0.054       0.060       0.036       0.019       0.011       0.016       0.203
      50.52       0.055       0.060       0.036       0.019       0.011       0.016       0.205
      50.69       0.055       0.061       0.036       0.019       0.011       0.016       0.207
      51.70       0.059       0.065       0.041       0.019       0.016       0.018       0.218
      52.30       0.062       0.068       0.043       0.018       0.018       0.018       0.225
      52.34       0.062       0.068       0.043       0.019       0.019       0.019       0.225
      52.91       0.061       0.068       0.044       0.019       0.019       0.019       0.231
      53.90       0.064       0.074       0.044       0.020       0.020       0.021       0.241
      54.15       0.065       0.076       0.045       0.020       0.020       0.021       0.245
      54.42       0.066       0.077       0.045       0.020       0.020       0.022       0.249
      54.70       0.064       0.076       0.051       0.018       0.018       0.022       0.253
      55.06       0.073       0.077       0.051       0.019       0.019       0.023       0.258
      55.34       0.071       0.076       0.052       0.026       0.019       0.024       0.262
      56.08       0.074       0.079       0.054       0.027       0.020       0.025       0.272
      56.40       0.074       0.082       0.054       0.027       0.020       0.026       0.277
      56.92       0.074       0.087       0.054       0.028       0.020       0.027       0.284
      57.36       0.073       0.086       0.055       0.026       0.021       0.028       0.290
      57.56       0.074       0.087       0.055       0.026       0.021       0.028       0.293
      57.88       0.080       0.085       0.053       0.027       0.019       0.029       0.297
      58.96       0.081       0.095       0.061       0.028       0.020       0.032       0.312
      59.00       0.081       0.095       0.062       0.028       0.020       0.032       0.313
      59.62       0.084       0.099       0.064       0.029       0.020       0.033       0.325
      60.30       0.087       0.100       0.063       0.030       0.021       0.035       0.338
      60.85       0.093       0.099       0.062       0.028       0.022       0.036       0.348
      61.07       0.094       0.107       0.063       0.028       0.022       0.037       0.353
      61.63       0.091       0.107       0.071       0.029       0.029       0.038       0.364
