Photoabsorption and Partial Photoionization Cross Sections for Atomic Oxygen
    LAM   ABS     4So    2Do    2Po    4P     2P     K
   18.62  0.344  0.005  0.006  0.004  0.002  0.001  0.327
   18.97  0.360  0.005  0.006  0.004  0.002  0.001  0.342
   21.60  0.497  0.007  0.008  0.005  0.002  0.002  0.472
   21.80  0.507  0.008  0.008  0.005  0.002  0.002  0.482
   22.10  0.523  0.008  0.009  0.006  0.003  0.002  0.497
   28.47  0.052  0.015  0.017  0.011  0.005  0.004  0.000
   28.79  0.053  0.016  0.017  0.011  0.005  0.004  0.000
   29.52  0.057  0.017  0.018  0.012  0.006  0.004  0.000
   30.02  0.059  0.018  0.019  0.013  0.006  0.004  0.000
   30.43  0.061  0.018  0.020  0.013  0.006  0.005  0.000
   33.74  0.081  0.024  0.026  0.017  0.008  0.006  0.000
   40.95  0.129  0.038  0.041  0.027  0.012  0.010  0.000
   43.76  0.153  0.045  0.049  0.032  0.015  0.012  0.000
   44.02  0.155  0.046  0.049  0.033  0.015  0.012  0.000
   44.16  0.156  0.046  0.050  0.033  0.015  0.012  0.000
   45.66  0.171  0.051  0.055  0.036  0.017  0.013  0.000
   46.40  0.179  0.053  0.057  0.038  0.017  0.014  0.000
   46.67  0.182  0.054  0.058  0.039  0.018  0.014  0.000
   47.87  0.195  0.058  0.062  0.041  0.019  0.015  0.000
   49.22  0.209  0.062  0.067  0.044  0.020  0.016  0.000
   50.52  0.223  0.066  0.071  0.047  0.022  0.017  0.000
   50.69  0.225  0.067  0.072  0.048  0.022  0.017  0.000
   52.30  0.242  0.072  0.077  0.051  0.023  0.018  0.000
   52.91  0.249  0.074  0.079  0.053  0.024  0.019  0.000
   54.15  0.262  0.078  0.084  0.056  0.025  0.020  0.000
   54.42  0.265  0.078  0.085  0.056  0.026  0.020  0.000
   55.06  0.272  0.080  0.087  0.058  0.026  0.021  0.000
   55.34  0.275  0.081  0.088  0.058  0.027  0.021  0.000
   56.08  0.283  0.084  0.090  0.060  0.027  0.021  0.000
   56.92  0.292  0.086  0.093  0.062  0.028  0.022  0.000
   57.36  0.297  0.088  0.095  0.063  0.029  0.023  0.000
   57.56  0.299  0.088  0.096  0.063  0.029  0.023  0.000
   57.88  0.302  0.089  0.097  0.064  0.029  0.023  0.000
   58.96  0.316  0.093  0.101  0.067  0.031  0.024  0.000
   59.62  0.324  0.096  0.104  0.069  0.031  0.025  0.000
   60.30  0.333  0.099  0.106  0.071  0.032  0.025  0.000
   60.85  0.341  0.101  0.109  0.072  0.033  0.026  0.000
   61.07  0.344  0.102  0.110  0.073  0.033  0.026  0.000
   61.63  0.351  0.104  0.112  0.074  0.034  0.027  0.000
