Photoabsorption and Partial Photoionization Cross Sections for Molecular Oxygen
   LAM     ABS    ION   FRAG    O2+    X      a+A     b       B   2pi+c  2sig   33 eV  2,4sig  K
   18.62  0.687  0.687  0.687  0.000  0.000  0.000  0.000  0.004  0.012  0.003  0.006  0.011  0.651
   18.97  0.720  0.720  0.719  0.001  0.000  0.000  0.000  0.004  0.013  0.003  0.006  0.011  0.682
   21.60  0.993  0.993  0.992  0.001  0.000  0.000  0.000  0.005  0.017  0.004  0.009  0.015  0.941
   21.80  1.014  1.014  1.013  0.001  0.000  0.000  0.000  0.005  0.018  0.005  0.009  0.015  0.961
   22.10  1.046  1.046  1.045  0.001  0.000  0.000  0.000  0.006  0.018  0.005  0.009  0.016  0.991
   28.47  0.103  0.103  0.100  0.003  0.001  0.001  0.001  0.010  0.034  0.009  0.017  0.030  0.000
   28.79  0.106  0.106  0.103  0.003  0.001  0.001  0.001  0.011  0.035  0.009  0.018  0.030  0.000
   29.52  0.113  0.113  0.109  0.004  0.001  0.001  0.001  0.011  0.037  0.010  0.019  0.032  0.000
   30.02  0.118  0.118  0.114  0.004  0.002  0.001  0.001  0.012  0.039  0.010  0.020  0.034  0.000
   30.43  0.122  0.122  0.118  0.004  0.002  0.001  0.001  0.012  0.040  0.010  0.021  0.035  0.000
   33.74  0.158  0.158  0.152  0.006  0.002  0.002  0.002  0.016  0.052  0.013  0.027  0.045  0.000
   40.95  0.257  0.257  0.242  0.014  0.006  0.005  0.004  0.025  0.082  0.021  0.042  0.072  0.000
   43.76  0.304  0.304  0.285  0.019  0.007  0.007  0.005  0.029  0.097  0.025  0.050  0.084  0.000
   44.02  0.309  0.309  0.289  0.019  0.008  0.007  0.005  0.030  0.098  0.025  0.051  0.086  0.000
   44.16  0.311  0.311  0.291  0.020  0.008  0.007  0.005  0.030  0.099  0.025  0.051  0.086  0.000
   45.66  0.338  0.338  0.315  0.023  0.009  0.008  0.006  0.032  0.107  0.028  0.055  0.093  0.000
   46.40  0.351  0.351  0.327  0.024  0.010  0.009  0.006  0.034  0.111  0.029  0.057  0.097  0.000
   46.67  0.356  0.356  0.332  0.025  0.010  0.009  0.006  0.034  0.112  0.029  0.058  0.098  0.000
   47.87  0.379  0.379  0.352  0.027  0.011  0.010  0.007  0.036  0.119  0.031  0.061  0.104  0.000
